Designator,Footprint,Quantity,Value,LCSC Part #
"CN1, CN2",AUDIO-SMD_PJ-320D,2,PJ-320D,C431535
"Q1, Q2, Q3, Q4",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,4,2N3906,C5300004
"Q5, Q6, Q7, Q8",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,4,2n3904,C18536
R1,R_0402_JLC,1,220R +-1%,
R2,R_0402_JLC,1,5.6k,
"R3, R6",R_0402_JLC,2,12k,
"R4, R5",R_0402_JLC,2,1.8k,
"TP1, TP2, TP3, TP4",2_3-1.5_2.5_1_1,4,~,
